url,label
http://example.com,legitimate
https://secure-login.com,phishing
http://free-update-account.com,phishing
https://safe-site.net,legitimate
http://example.com@phishing.com,phishing
https://normalwebsite.org,legitimate
http://bank-secure-login.com,phishing
https://mybank.com,legitimate
http://verify-account-update.com,phishing
https://trustedsite.org,legitimate
http://login.free-gift.com,phishing
https://secure.payments.com,legitimate
http://update-info-account.com,phishing
https://companysite.com,legitimate
http://confirm-user-login.com,phishing
https://amazon.com,legitimate
http://paypal-secure-login.com,phishing
https://google.com,legitimate
http://secure-paypal-account.com,phishing
https://facebook.com,legitimate
http://free-facebook-login.com,phishing
https://twitter.com,legitimate
http://update-twitter-account.com,phishing
https://linkedin.com,legitimate
http://secure-linkedin-login.com,phishing
https://github.com,legitimate
http://github-secure-login.com,phishing
https://microsoft.com,legitimate
http://microsoft-account-update.com,phishing
https://apple.com,legitimate
http://apple-secure-login.com,phishing
https://netflix.com,legitimate
http://netflix-account-verify.com,phishing
https://dropbox.com,legitimate
http://dropbox-secure-login.com,phishing
https://paypal.com,legitimate
http://paypal-account-update.com,phishing
https://ebay.com,legitimate
http://ebay-secure-login.com,phishing
https://wellsfargo.com,legitimate
http://wellsfargo-account-verify.com,phishing
https://chase.com,legitimate
http://chase-secure-login.com,phishing
https://bankofamerica.com,legitimate
http://bankofamerica-account-update.com,phishing
https://citibank.com,legitimate
http://citibank-secure-login.com,phishing
https://instagram.com,legitimate
http://instagram-free-gift.com,phishing
https://paypal.com/login,legitimate
http://paypal.com@phishing.com,phishing
https://secure-login-paypal.com,phishing
http://update-account-info.com,phishing
https://secure-update-account.com,phishing
http://free-gift-card.com,phishing
https://trusted-bank.com,legitimate
http://login-secure-bank.com,phishing
https://secure-login-update.com,phishing
http://verify-account-info.com,phishing
https://secure-login-verify.com,phishing
http://account-update-secure.com,phishing
https://safe-login.com,legitimate
http://secure-login-free.com,phishing
https://secure-account.com,legitimate
http://free-login-update.com,phishing
https://secure-login-bank.com,phishing
http://update-account-login.com,phishing
https://secure-login-info.com,phishing
http://login-update-secure.com,phishing
https://secure-account-login.com,phishing
http://free-update-login.com,phishing
https://secure-login-update.com,phishing
http://update-login-secure.com,phishing
https://secure-login-update.com,phishing
http://login-secure-update.com,phishing
https://secure-login-update.com,phishing
http://update-secure-login.com,phishing
https://secure-login-update.com,phishing
http://secure-login-update.com,phishing
https://secure-login-update.com,phishing
